date,n1,n2,n3,n4,n5,n6,bonus,classic_result,gold_ball_number,gold_prize_type,gold_result,odd_even,consecutive,repeats,zone
2025-02-19,9,10,11,24,31,37,44,9 - 10 - 11 - 24 - 31 - 37 | Bonus 44,,,,4單 2雙,Yes,3,"4個區 (1,2,3,4)"
2025-02-15,8,10,31,37,43,49,34,8 - 10 - 31 - 37 - 43 - 49 | Bonus 34,,,,4單 2雙,No,0,"3個區 (1,4,5)"
2025-02-12,19,24,39,40,42,45,41,19 - 24 - 39 - 40 - 42 - 45 | Bonus 41,,,,3單 3雙,Yes,0,"4個區 (2,3,4,5)"
2025-02-08,7,17,22,26,27,32,46,7 - 17 - 22 - 26 - 27 - 32 | Bonus 46,,,,3單 3雙,Yes,1,"4個區 (1,2,3,4)"
2025-02-05,4,13,20,32,37,46,33,4 - 13 - 20 - 32 - 37 - 46 | Bonus 33,,,,2單 4雙,No,0,"4個區 (1,2,4,5)"
2025-02-01,2,28,29,30,36,49,35,2 - 28 - 29 - 30 - 36 - 49 | Bonus 35,,,,2單 4雙,Yes,0,"4個區 (1,3,4,5)"
2025-01-29,3,7,15,20,31,39,2,3 - 7 - 15 - 20 - 31 - 39 | Bonus 2,,,,5單 1雙,No,0,"3個區 (1,2,4)"
2025-01-25,1,14,19,27,32,40,37,1 - 14 - 19 - 27 - 32 - 40 | Bonus 37,,,,3單 3雙,No,1,"4個區 (1,2,3,4)"
2025-01-22,22,24,28,32,41,42,25,22 - 24 - 28 - 32 - 41 - 42 | Bonus 25,,,,1單 5雙,Yes,0,"3個區 (3,4,5)"
2025-01-18,8,13,16,18,31,43,1,8 - 13 - 16 - 18 - 31 - 43 | Bonus 1,,,,3單 3雙,No,0,"4個區 (1,2,4,5)"
2025-01-15,4,17,21,32,33,49,28,4 - 17 - 21 - 32 - 33 - 49 | Bonus 28,,,,4單 2雙,Yes,0,"5個區 (1,2,3,4,5)"
2025-01-11,3,9,18,25,43,45,31,3 - 9 - 18 - 25 - 43 - 45 | Bonus 31,,,,5單 1雙,No,1,"4個區 (1,2,3,5)"
2025-01-08,9,10,12,22,32,34,47,9 - 10 - 12 - 22 - 32 - 34 | Bonus 47,,,,1單 5雙,Yes,1,"4個區 (1,2,3,4)"
2025-01-04,2,5,9,19,24,44,10,2 - 5 - 9 - 19 - 24 - 44 | Bonus 10,,,,3單 3雙,No,1,"4個區 (1,2,3,5)"
2025-01-01,2,10,13,26,35,46,8,2 - 10 - 13 - 26 - 35 - 46 | Bonus 8,,,,2單 4雙,No,0,"5個區 (1,2,3,4,5)"
2024-12-28,8,16,18,23,34,36,12,8 - 16 - 18 - 23 - 34 - 36 | Bonus 12,,,,1單 5雙,No,2,"4個區 (1,2,3,4)"
2024-12-25,5,6,14,16,18,44,19,5 - 6 - 14 - 16 - 18 - 44 | Bonus 19,,,,1單 5雙,Yes,1,"3個區 (1,2,5)"
2024-12-21,6,9,21,24,41,48,31,6 - 9 - 21 - 24 - 41 - 48 | Bonus 31,,,,3單 3雙,No,2,"3個區 (1,3,5)"
2024-12-18,7,9,17,39,41,45,47,7 - 9 - 17 - 39 - 41 - 45 | Bonus 47,,,,6單 0雙,No,0,"4個區 (1,2,4,5)"
2024-12-14,3,4,13,16,27,43,38,3 - 4 - 13 - 16 - 27 - 43 | Bonus 38,,,,4單 2雙,Yes,0,"4個區 (1,2,3,5)"
2024-12-11,26,35,39,40,41,46,3,26 - 35 - 39 - 40 - 41 - 46 | Bonus 3,,,,3單 3雙,Yes,1,"3個區 (3,4,5)"
2024-12-07,9,22,33,41,42,45,12,9 - 22 - 33 - 41 - 42 - 45 | Bonus 12,,,,4單 2雙,Yes,1,"4個區 (1,3,4,5)"
2024-12-04,19,23,37,39,41,49,29,19 - 23 - 37 - 39 - 41 - 49 | Bonus 29,,,,6單 0雙,No,1,"4個區 (2,3,4,5)"
2024-11-30,1,5,22,25,36,37,30,1 - 5 - 22 - 25 - 36 - 37 | Bonus 30,,,,4單 2雙,Yes,0,"3個區 (1,3,4)"
2024-11-27,2,3,6,14,34,44,35,2 - 3 - 6 - 14 - 34 - 44 | Bonus 35,,,,1單 5雙,Yes,2,"4個區 (1,2,4,5)"
2024-11-23,3,4,6,11,27,39,1,3 - 4 - 6 - 11 - 27 - 39 | Bonus 1,,,,4單 2雙,Yes,0,"4個區 (1,2,3,4)"
2024-11-20,12,13,21,24,46,49,15,12 - 13 - 21 - 24 - 46 - 49 | Bonus 15,,,,3單 3雙,Yes,1,"3個區 (2,3,5)"
2024-11-16,7,14,21,30,32,42,15,7 - 14 - 21 - 30 - 32 - 42 | Bonus 15,,,,2單 4雙,No,0,"5個區 (1,2,3,4,5)"
2024-11-13,5,15,17,29,35,45,25,5 - 15 - 17 - 29 - 35 - 45 | Bonus 25,,,,6單 0雙,No,0,"5個區 (1,2,3,4,5)"
2024-11-09,9,12,16,39,47,49,30,9 - 12 - 16 - 39 - 47 - 49 | Bonus 30,,,,4單 2雙,No,0,"4個區 (1,2,4,5)"
2024-11-06,2,11,18,21,23,25,26,2 - 11 - 18 - 21 - 23 - 25 | Bonus 26,,,,4單 2雙,No,0,"3個區 (1,2,3)"
2024-11-02,7,13,37,42,46,47,48,7 - 13 - 37 - 42 - 46 - 47 | Bonus 48,,,,4單 2雙,Yes,0,"4個區 (1,2,4,5)"
